Speech Event	all‰	ung‰	heit‰	keit‰	schaft‰	tät‰	ion‰	ieren‰
FOLK_E_00267_SE_01	3,58	2,26	0,09	0,09	0,03	0,06	0,03	1,01	
FOLK_E_00268_SE_01	4,82	3,47	0,15	0,00	0,30	0,00	0,30	0,60	
FOLK_E_00269_SE_01	3,19	1,70	0,00	0,43	0,00	0,00	0,21	0,85	
FOLK_E_00270_SE_01	3,99	1,33	0,00	0,44	0,00	0,00	0,00	2,22	
FOLK_E_00271_SE_01	6,00	2,95	0,22	0,22	0,00	0,00	1,20	1,42	
FOLK_E_00272_SE_01	8,87	6,52	0,26	0,52	0,00	0,26	0,52	0,78	
FOLK_E_00273_SE_01	5,44	3,29	0,28	0,19	0,19	0,00	0,79	0,70	
FOLK_E_00274_SE_01	5,10	2,96	0,19	0,00	0,00	0,00	0,56	1,39	
FOLK_E_00285_SE_01	2,89	1,76	0,13	0,00	0,19	0,06	0,00	0,75	
FOLK_E_00286_SE_01	5,70	2,98	0,00	0,00	0,00	0,81	0,81	1,09	
FOLK_E_00287_SE_01	3,79	1,68	0,14	0,05	0,05	0,05	0,91	0,91	
FOLK_E_00288_SE_01	4,48	2,50	0,19	0,00	0,51	0,00	0,64	0,64	
FOLK_E_00289_SE_01	3,34	0,56	0,00	0,00	0,00	0,00	1,67	1,11	
FOLK_E_00290_SE_01	4,63	1,89	0,46	0,40	0,00	0,23	0,80	0,86	
FOLK_E_00291_SE_01	3,29	2,16	0,19	0,09	0,00	0,00	0,28	0,56	
FOLK_E_00292_SE_01	10,39	6,61	0,00	0,94	0,00	0,00	0,94	1,89	
FOLK_E_00293_SE_01	4,18	2,76	0,00	0,00	0,09	0,09	0,49	0,76	
FOLK_E_00294_SE_01	2,01	1,48	0,00	0,00	0,00	0,00	0,11	0,42	
FOLK_E_00295_SE_01	6,20	4,54	0,15	0,15	0,00	0,00	0,45	0,91	
FOLK_E_00296_SE_01	3,99	2,35	0,00	0,10	0,20	0,00	0,31	1,02	
FOLK_E_00298_SE_01	8,26	2,75	0,00	0,00	0,00	0,00	0,00	5,51	
FOLK_E_00299_SE_01	1,16	0,58	0,00	0,00	0,00	0,00	0,00	0,58	
