Speech Event	lemmas	tokens	GOETHE_A1 lemmas	GOETHE_A1 tokens	GOETHE_A1 lemmas ratio	GOETHE_A1 tokens ratio	GOETHE_A2 lemmas	GOETHE_A2 tokens	GOETHE_A2 lemmas ratio	GOETHE_A2 tokens ratio	GOETHE_B1 lemmas	GOETHE_B1 tokens	GOETHE_B1 lemmas ratio	GOETHE_B1 tokens ratio	HERDER_1000 lemmas	HERDER_1000 tokens	HERDER_1000 lemmas ratio	HERDER_1000 tokens ratio	HERDER_2000 lemmas	HERDER_2000 tokens	HERDER_2000 lemmas ratio	HERDER_2000 tokens ratio	HERDER_3000 lemmas	HERDER_3000 tokens	HERDER_3000 lemmas ratio	HERDER_3000 tokens ratio	HERDER_4000 lemmas	HERDER_4000 tokens	HERDER_4000 lemmas ratio	HERDER_4000 tokens ratio	HERDER_5000 lemmas	HERDER_5000 tokens	HERDER_5000 lemmas ratio	HERDER_5000 tokens ratio	
FOLK_E_00335_SE_01	992	9427	298	7093	0.30	0.75	442	7951	0.45	0.84	601	8474	0.61	0.90	402	7697	0.41	0.82	499	8024	0.50	0.85	552	8149	0.56	0.86	588	8256	0.59	0.88	616	8317	0.62	0.88
FOLK_E_00337_SE_01	1339	8845	342	6408	0.26	0.72	486	7070	0.36	0.80	770	7842	0.58	0.89	520	6981	0.39	0.79	688	7348	0.51	0.83	792	7504	0.59	0.85	843	7575	0.63	0.86	872	7683	0.65	0.87
FOLK_E_00338_SE_01	1418	8872	325	6350	0.23	0.72	469	6932	0.33	0.78	761	7678	0.54	0.87	511	6926	0.36	0.78	699	7335	0.49	0.83	802	7509	0.57	0.85	865	7612	0.61	0.86	906	7686	0.64	0.87
FOLK_E_00339_SE_01	1860	14920	399	11504	0.21	0.77	636	12452	0.34	0.83	952	13299	0.51	0.89	585	12168	0.31	0.82	813	12674	0.44	0.85	939	12885	0.50	0.86	1036	13076	0.56	0.88	1101	13172	0.59	0.88
FOLK_E_00340_SE_01	1570	19600	382	15423	0.24	0.79	572	16962	0.36	0.87	853	17947	0.54	0.92	526	16464	0.34	0.84	702	17037	0.45	0.87	796	17329	0.51	0.88	867	17488	0.55	0.89	910	17565	0.58	0.90
FOLK_E_00342_SE_01	966	9508	355	7896	0.37	0.83	492	8431	0.51	0.89	638	8771	0.66	0.92	412	8049	0.43	0.85	523	8318	0.54	0.87	571	8444	0.59	0.89	619	8532	0.64	0.90	645	8569	0.67	0.90
FOLK_E_00343_SE_01	633	4835	214	3665	0.34	0.76	293	4052	0.46	0.84	405	4342	0.64	0.90	312	3927	0.49	0.81	372	4103	0.59	0.85	409	4183	0.65	0.87	434	4238	0.69	0.88	452	4267	0.71	0.88
FOLK_E_00344_SE_01	1030	8066	345	6203	0.33	0.77	497	6915	0.48	0.86	642	7366	0.62	0.91	409	6602	0.40	0.82	533	6940	0.52	0.86	591	7048	0.57	0.87	627	7151	0.61	0.89	649	7180	0.63	0.89
FOLK_E_00345_SE_01	112	566	56	315	0.50	0.56	70	374	0.63	0.66	78	399	0.70	0.70	59	316	0.53	0.56	66	355	0.59	0.63	73	365	0.65	0.64	77	370	0.69	0.65	80	375	0.71	0.66
FOLK_E_00346_SE_01	1622	21766	411	17794	0.25	0.82	606	18861	0.37	0.87	890	19926	0.55	0.92	527	18548	0.32	0.85	718	19080	0.44	0.88	809	19234	0.50	0.88	891	19392	0.55	0.89	938	19459	0.58	0.89
FOLK_E_00347_SE_01	1076	9698	319	7428	0.30	0.77	457	8039	0.42	0.83	619	8556	0.58	0.88	405	7807	0.38	0.81	516	8110	0.48	0.84	571	8241	0.53	0.85	618	8326	0.57	0.86	647	8371	0.60	0.86
FOLK_E_00348_SE_01	1328	13291	364	10462	0.27	0.79	506	11335	0.38	0.85	744	12150	0.56	0.91	474	11056	0.36	0.83	609	11447	0.46	0.86	686	11618	0.52	0.87	740	11733	0.56	0.88	777	11806	0.59	0.89
FOLK_E_00349_SE_01	1087	11176	299	8731	0.28	0.78	445	9512	0.41	0.85	641	10277	0.59	0.92	426	9248	0.39	0.83	538	9566	0.49	0.86	592	9658	0.54	0.86	631	9746	0.58	0.87	658	9803	0.61	0.88
FOLK_E_00350_SE_01	1129	12065	305	9500	0.27	0.79	448	10375	0.40	0.86	654	11169	0.58	0.93	423	10100	0.37	0.84	541	10427	0.48	0.86	601	10562	0.53	0.88	642	10683	0.57	0.89	663	10727	0.59	0.89
FOLK_E_00351_SE_01	1396	11618	364	9022	0.26	0.78	517	9827	0.37	0.85	762	10517	0.55	0.91	483	9466	0.35	0.81	635	9807	0.45	0.84	722	9970	0.52	0.86	782	10065	0.56	0.87	824	10141	0.59	0.87
